time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.05969826245e-08,-1.04236817848e-07,10.0058001489,6.28296758265,6.28316055541,0.0,2.1049913596e-06,-1.46691921436e-05,0.193324664825,-0.0121085046351,-0.0012507003775,0.0,465.79856473587887,465.700773583817,465.8653730876596,464.9178659221808
0.12000000000000001,1.01780136542e-06,-8.84313672402e-06,10.0222873513,6.28180932973,6.2827012331,0.0,5.55222878521e-05,-0.000374133526854,0.356211322399,-0.0403317110315,-0.0252743676352,0.0,456.70969378494226,454.78996095181503,458.3209039902865,456.0725771335677
0.18,1.81900779577e-05,-6.39845864869e-05,10.0440799835,6.27968990011,6.281164425,0.0,0.000653162354431,-0.00166516696382,0.37020462007,-0.0268294179426,-0.026300344755,0.0,409.08952865066556,408.9979930446223,408.042040411247,409.24473910736606
0.23999999999999996,0.000110574792664,-0.000251565743457,10.0717853883,6.27822596197,6.27988256279,0.0,0.00258792313154,-0.0047624840625,0.553236510206,-0.019934775011,-0.0129733757069,0.0,462.6301222850107,463.67810484723844,461.9120348591422,462.45527982123195
0.3,0.000337357512752,-0.000644761785236,10.1081826663,6.27753803754,6.27945790047,0.0,0.00503116647697,-0.00843680879192,0.659949288543,0.00160622360654,0.00267362754474,0.0,437.8846038531899,439.1842193719942,439.3014118077427,441.0837839965662
0.36000000000000004,0.000734796713067,-0.00129600447177,10.1559714785,6.27798463254,6.27963624572,0.0,0.00819450815986,-0.0132330719997,0.932829028061,0.0171136904561,0.00356345201529,0.0,488.9554189013644,489.0216355962791,488.7818694323157,489.93594989252404
0.4200000000000001,0.0012974557633,-0.00219177414397,10.2145787917,6.27877289324,6.28008791164,0.0,0.0105261937141,-0.016533112386,1.02067394013,0.00368255634535,0.0144660335284,0.0,433.9681986566574,434.8821725267857,433.9874469129091,432.85867438674734
0.48000000000000015,0.00198917532959,-0.00327360778677,10.2787250626,6.27857332192,6.28119266698,0.0,0.0124297171269,-0.0195202897587,1.11744544691,-0.0235032294573,0.0253229269253,0.0,437.2829076471017,438.1862258592978,437.275379837039,435.0051116254367
0.5400000000000001,0.00277869553457,-0.00456935162338,10.3536431584,6.27695734935,6.28265414146,0.0,0.013699262375,-0.0238590889271,1.37954498102,-0.0348672507187,0.0223546834955,0.0,486.6486889558242,486.42650941177595,487.6120904340324,486.76238929940234
0.6000000000000002,0.00360685259967,-0.00615524552223,10.4420881202,6.27486111314,0.00112899960367,0.0,0.0137311535215,-0.0292435761834,1.56837891239,-0.0350776474811,0.0366052019486,0.0,465.6141299111878,466.7277120919677,466.022758705721,466.0058543976878
0.6600000000000003,0.00440354125075,-0.00806436746353,10.5362693733,6.27284062525,0.00317938954447,0.0,0.0126386961421,-0.0345743315208,1.57099055114,-0.0310077158082,0.0288029211671,0.0,407.5827699300267,406.8855091345873,407.27340397653876,407.63665803239746
0.7200000000000003,0.00508343031182,-0.010377054621,10.6352058703,6.27043189265,0.00441336347891,0.0,0.00985064619921,-0.0427316876171,1.72666737536,-0.0733604483436,-0.00599873806854,0.0,458.1925478940064,455.4176212841444,458.1449094314937,454.76402766951844
0.7800000000000004,0.00558636706279,-0.0132148651001,10.7413319049,6.26601095001,0.00437822310024,0.0,0.00693244033989,-0.0522997430891,1.8107310354,-0.0743337625918,0.00849141294016,0.0,434.2572823508196,435.47099521410513,434.7333176479282,434.6473971707823
0.8400000000000004,0.00589211093064,-0.0167914214537,10.8567843874,6.26259678925,0.00540056787259,0.0,0.00316351796556,-0.0673717320838,2.03730008696,-0.0349668786059,0.0302048538933,0.0,478.63008723024075,480.2795728228279,476.02642035376766,479.02668448874647
0.9000000000000005,0.0059685280995,-0.0212448231756,10.9809543645,6.26036927972,0.00796921007115,0.0,-0.000834846579352,-0.0812813720245,2.10157665206,-0.0418335374609,0.0604127042204,0.0,428.1663966615298,430.7295482769772,429.96141068708476,429.37858689191785
0.9600000000000005,0.00573295556134,-0.0266214530718,11.1108590651,6.25803981556,0.0114847683325,0.0,-0.00739415163715,-0.0981898216489,2.22833121621,-0.0334002360964,0.0546803048076,0.0,449.9841399022863,449.52222209005,449.14433191474916,449.82699754650037
1.0200000000000005,0.00499975987171,-0.0331230439543,11.2508095529,6.25610456397,0.0142594361854,0.0,-0.017410766832,-0.11875140425,2.43625389649,-0.0300557465689,0.0184272288867,0.0,476.8270984069841,474.05058508378613,473.642925968367,473.8997429988173
1.0800000000000005,0.00365973704788,-0.0408075457877,11.399744498,6.25478913057,0.0151210452751,0.0,-0.0273544838906,-0.137546925853,2.52803849095,-0.0092641719024,0.00464288175245,0.0,440.7745212143035,439.6338023754661,439.1953385140033,440.9162863855939
1.1400000000000006,0.00173290696138,-0.0495963621511,11.5525617352,6.2540158784,0.0156898458677,0.0,-0.0369125071253,-0.155472114392,2.56578145036,-0.0213515764799,0.0177275989388,0.0,422.44486108227164,423.57151665731726,423.76402721844164,422.7238249889321
1.2000000000000006,-0.000926670043006,-0.059746512902,11.7167796768,6.25271790537,0.017288578512,0.0,-0.0519163844954,-0.18302044973,2.90733570529,-0.0222014676535,0.0402517820692,0.0,512.1948333917001,513.7942267509932,514.5118648716573,514.4517547237562
1.2600000000000007,-0.00447794117624,-0.0714837121384,11.8981526923,6.25128379539,0.0194079973972,0.0,-0.0667266405086,-0.208368707837,3.13781502235,-0.027539620417,0.0229853752463,0.0,484.9543811419279,483.65612052859365,484.493735945814,484.09220263648876
